time_step,gps_error_m,dead_reckoning_error_m,q_magnav_error_m,q_magnav_uncertainty_m,gnss_residual_m,gps_trusted,magnetic_measurement_nt,true_map_field_nt
0,8.08303945611736,8.08303945611736,7.863221905510708,24.798375633075512,12.495662831654512,True,49990.75994301789,49993.69258452129
1,10.29061962446007,7.692323307579386,2.8062279284775116,18.89537485851344,17.700959914487633,True,49992.85269910723,49993.770346975936
2,25.66971321073613,14.295840938802897,9.904455780705021,17.554006683292503,30.6291159044628,True,49993.672728103746,49993.77754019757
3,30.22820476266927,7.767315147030401,9.752616607503954,16.65013587092702,43.846755674221306,True,49993.16110882242,49993.72095718043
4,32.283186955368144,10.480420316873499,13.664821339958566,17.112711894343036,41.15443976098531,True,49993.01238063295,49993.57598183573
5,46.856002994722616,13.372562825993489,12.668540844728819,15.890966248172901,67.54802971391305,True,49992.52761046247,49993.35334504231
6,32.77054995826047,28.431586755696028,8.492113272319887,15.713553354176048,39.670556784256796,True,49992.35878109351,49993.03254478106
7,19.542335265754144,26.580098949065793,11.57982356042479,16.554540379256128,15.38084522942856,True,49993.81709222882,49992.63184641662
8,8.343362492170487,37.59925867201346,7.597625175921162,16.66081039752541,1.369931729480829,True,49992.06292572653,49992.13217355028
9,30.58597179836017,44.52256922550049,19.60502479319769,16.554078515240022,20.143405678693288,True,49991.14409157257,49991.55285304791
10,36.68715964504012,40.93629409092141,16.505429094531788,16.50921374837943,46.25508152173375,True,49989.37284004503,49990.882466027666
11,17.55535927014975,42.11771269307086,18.758736567543316,16.55049106350958,9.543907669899353,True,49992.7386460442,49990.136042594735
12,19.894736763136454,43.16270855617109,8.25585880315614,17.154169570219764,38.02983913956048,True,49988.90618806356,49989.312570170936
13,29.597652547930522,42.39951115975002,16.32661910261174,16.848235628224735,28.087934119431136,True,49991.693104224425,49988.415600456785
14,30.230356724951715,46.430533119555705,15.681596446816009,16.604760418653385,26.91495426406941,True,49987.0491108504,49987.45754638185
15,18.53816594790906,56.419589260780135,18.49345442259386,16.094585576297536,5.531034655914523,True,49984.54433120295,49986.4318646239
16,8.37001098233415,63.352082971809914,10.200822934666768,16.07896713932202,9.622404507684838,True,49984.99489821992,49985.35999502852
17,14.442265613478693,69.90430294468878,11.391107879077847,16.026798893895098,5.676641814813628,True,49983.65284983805,49984.20747853831
18,41.872107784122115,74.70374369608896,11.052112674434548,16.223257582460512,53.33295671748129,True,49982.53027009592,49983.033635031315
19,34.18144744228493,77.69637847273864,9.61365392841987,16.2324703454143,40.94547054848922,True,49981.68510255487,49981.76376648025
20,42.078974463302416,73.48802393568472,20.481688386609587,16.404757622363487,37.56871190659491,True,49980.29271696455,49980.48305490607
21,30.39460378154233,80.39083253728917,22.75007650585099,16.224332468419547,40.480424819144574,True,49981.60450546669,49979.10203800775
22,21.566888818566415,80.64092056056158,17.214236116486244,16.363821614086422,33.79034697008209,True,49975.99151578065,49977.70422041136
23,6.188658955307005,86.96242585796043,16.589835971547686,16.122705610397375,30.297974382184297,True,49974.203289353005,49976.19072947531
24,56.861935770083385,86.00231643327557,36.08431285552874,16.334792201755505,38.57625790966959,True,49972.746651714755,49974.68928452748
25,10.580824012976302,85.86238460218276,20.600411374354586,16.205175670369503,34.623939712958105,True,49975.60344208029,49973.0629756736
26,37.98439031747059,83.77609087264624,14.865345612411685,16.01509241022504,54.78418572333023,True,49971.056375615895,49971.43375678194
27,21.824527563257867,91.9424846169165,13.539435170014427,15.93626639322468,21.15093976672668,True,49970.106447790524,49969.69925681181
28,10.044472298115904,95.10897842880375,10.770419858936393,15.769813304607597,9.115065524895996,True,49970.79111870603,49967.95658296488
29,26.934018920832393,106.57832925187384,20.827293264612365,16.094891063523587,23.990087673387926,True,49966.4328211044,49966.15571318552
30,11.653069538159501,105.83415528848342,18.930652250951997,16.275460193613984,19.37708734565185,True,49961.681437609834,49964.36211676135
31,26.830575311960267,103.02479544425475,14.948451497884324,16.3388801128546,26.496877453301465,True,49963.38487730055,49962.52393751524
32,14.67485959312531,101.29134264023675,7.1696308693948305,15.874083516631332,18.4909170446269,True,49962.87786305084,49960.69238749559
33,27.41696635620125,100.47226819747615,12.758857771644978,16.234298002989622,25.717858755983993,True,49963.24511281519,49958.90761659296
34,24.428577559828753,107.02011667303567,10.499239159556451,16.11452412796786,36.41338293689153,True,49960.20301442007,49957.16421850192
35,22.851146512675413,116.7503233238513,3.202880371462935,16.28685832429489,40.53829447438255,True,49955.72755557142,49955.473586770466
